# WARP endpoints: 2868 working / 3584 probed
# sorted by in-tunnel loss, then in-tunnel ping
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# TUN PING / LOSS = RTT and packet loss measured inside the tunnel, to 1.1.1.1
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING TUN PING  LOSS   SEEN AS    NODE   NODE LOCATION
8.39.204.187:2408      37ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.58:2408       39ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.83:2408       45ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.134:2408       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.65:2408       34ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.109:500    33ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.157:2408      31ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.225:2408       35ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.61:2408       37ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.123:500       36ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.159:2408   34ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.67:500         35ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.186:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.1:2408         50ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.5:2408         36ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.83:2408    40ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.31:2408       31ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.254:2408       30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.126:500       31ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.158:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.195:2408       36ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.223:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.148:500        41ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.237:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.142:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.218:2408      33ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.112:2408      35ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.250:2408       44ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.43:2408    40ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.59:2408       36ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.234:2408   30ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.203:2408       39ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.123:2408      48ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.251:2408       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.75:2408        42ms          34ms      0%     RU         HEL    Helsinki, FI
